home_avg_goals,away_avg_goals,home_win_rate_weighted,away_win_rate_weighted,home_points,away_points,home_position,away_position,home_goal_diff,away_goal_diff,h2h_home_wins,h2h_away_wins,h2h_draws,winner
0.6666666666666666,1.2222222222222223,0.07894736842105263,0.07894736842105263,11.0,13.0,10.0,7.0,-2.0,-2.0,2,2,0,AWAY_TEAM
2.111111111111111,1.2222222222222223,0.18421052631578946,0.0,22.0,3.0,3.0,20.0,8.0,-13.0,1,0,1,HOME_TEAM
1.2222222222222223,0.7777777777777778,0.05263157894736842,0.05263157894736842,8.0,8.0,16.0,17.0,-4.0,-6.0,2,1,3,DRAW
2.3333333333333335,1.7777777777777777,0.15789473684210525,0.13157894736842105,21.0,17.0,4.0,5.0,11.0,7.0,5,0,1,HOME_TEAM
1.1111111111111112,0.8888888888888888,0.07894736842105263,0.05263157894736842,11.0,9.0,9.0,13.0,-1.0,-4.0,2,0,0,HOME_TEAM
2.4,1.0,0.21052631578947367,0.02631578947368421,25.0,6.0,3.0,18.0,11.0,-8.0,2,1,3,HOME_TEAM
1.3,0.6,0.0,0.07894736842105263,3.0,11.0,20.0,12.0,-16.0,-3.0,1,1,0,AWAY_TEAM
2.2,2.1,0.18421052631578946,0.21052631578947367,24.0,25.0,4.0,2.0,12.0,14.0,2,3,0,AWAY_TEAM
1.2,1.3,0.02631578947368421,0.05263157894736842,8.0,11.0,17.0,11.0,-4.0,-3.0,3,1,1,DRAW
0.8,1.5555555555555556,0.05263157894736842,0.05263157894736842,9.0,9.0,15.0,13.0,-6.0,0.0,1,0,1,DRAW
1.2,1.1,0.07894736842105263,0.10526315789473684,14.0,13.0,9.0,10.0,-2.0,-3.0,4,0,2,HOME_TEAM
1.2,1.8,0.10526315789473684,0.13157894736842105,16.0,18.0,7.0,5.0,-1.0,6.0,2,0,4,DRAW
1.6,1.2,0.13157894736842105,0.10526315789473684,17.0,14.0,6.0,8.0,6.0,1.0,2,2,1,DRAW
2.3333333333333335,0.8,0.18421052631578946,0.05263157894736842,25.0,9.0,1.0,16.0,16.0,-6.0,3,1,2,HOME_TEAM
1.5,1.2,0.02631578947368421,0.05263157894736842,6.0,9.0,19.0,14.0,-10.0,-4.0,0,2,0,AWAY_TEAM
0.7272727272727273,2.3,0.10526315789473685,0.21052631578947367,14.0,28.0,10.0,1.0,-2.0,17.0,2,2,0,HOME_TEAM
1.0909090909090908,2.272727272727273,0.10526315789473685,0.2368421052631579,13.0,28.0,11.0,3.0,-4.0,12.0,2,4,0,AWAY_TEAM
1.2727272727272727,1.0909090909090908,0.10526315789473685,0.026315789473684213,17.0,9.0,8.0,16.0,-1.0,-4.0,5,1,0,HOME_TEAM
0.9090909090909091,1.6,0.026315789473684213,0.05263157894736842,6.0,10.0,18.0,14.0,-9.0,0.0,3,1,1,DRAW
1.8181818181818181,2.090909090909091,0.13157894736842105,0.1842105263157895,19.0,24.0,5.0,4.0,6.0,11.0,2,4,0,AWAY_TEAM
0.8181818181818182,1.2727272727272727,0.052631578947368425,0.0,9.0,3.0,17.0,20.0,-7.0,-17.0,2,0,0,HOME_TEAM
1.2727272727272727,1.5454545454545454,0.10526315789473685,0.026315789473684213,15.0,6.0,9.0,19.0,1.0,-11.0,2,0,0,HOME_TEAM
1.3636363636363635,1.6363636363636365,0.07894736842105263,0.13157894736842105,12.0,18.0,12.0,6.0,-3.0,6.0,2,2,2,AWAY_TEAM
2.090909090909091,1.2727272727272727,0.2368421052631579,0.10526315789473685,28.0,17.0,2.0,7.0,15.0,-1.0,2,0,4,DRAW
1.1818181818181819,0.9090909090909091,0.052631578947368425,0.052631578947368425,12.0,10.0,13.0,15.0,-3.0,-6.0,1,1,0,HOME_TEAM
1.75,0.9166666666666666,0.15789473684210525,0.02631578947368421,21.0,7.0,5.0,18.0,7.0,-9.0,3,2,0,HOME_TEAM
1.1666666666666667,2.4166666666666665,0.10526315789473684,0.2631578947368421,18.0,31.0,9.0,1.0,-1.0,14.0,2,2,1,AWAY_TEAM
1.1666666666666667,1.6666666666666667,0.0,0.13157894736842105,3.0,19.0,20.0,7.0,-18.0,5.0,0,1,1,AWAY_TEAM
1.4166666666666667,1.1666666666666667,0.02631578947368421,0.07894736842105263,6.0,15.0,19.0,11.0,-12.0,-2.0,0,1,1,DRAW
1.1666666666666667,0.8333333333333334,0.10526315789473684,0.13157894736842105,13.0,17.0,12.0,10.0,-6.0,-1.0,1,0,3,DRAW
1.9166666666666667,1.25,0.23684210526315788,0.13157894736842105,29.0,18.0,2.0,8.0,15.0,2.0,4,1,1,HOME_TEAM
2.0,0.8333333333333334,0.21052631578947367,0.07894736842105263,27.0,12.0,4.0,14.0,12.0,-6.0,5,0,0,HOME_TEAM
1.5454545454545454,1.3333333333333333,0.052631578947368425,0.13157894736842105,11.0,20.0,15.0,6.0,0.0,1.0,1,2,3,DRAW
2.1818181818181817,1.4166666666666667,0.2105263157894737,0.07894736842105263,28.0,12.0,3.0,13.0,16.0,-4.0,3,0,2,HOME_TEAM
0.8461538461538461,1.3846153846153846,0.07894736842105264,0.026315789473684213,12.0,7.0,15.0,19.0,-7.0,-12.0,1,1,0,HOME_TEAM
1.1538461538461537,2.0,0.10526315789473685,0.23684210526315788,18.0,30.0,10.0,4.0,-2.0,13.0,0,4,2,DRAW
1.2307692307692308,1.0769230769230769,0.13157894736842107,0.026315789473684213,18.0,7.0,9.0,18.0,-2.0,-10.0,1,3,2,DRAW
1.1538461538461537,1.1538461538461537,0.07894736842105264,0.0,16.0,3.0,11.0,20.0,-2.0,-20.0,2,0,0,HOME_TEAM
2.25,1.0,0.23684210526315788,0.02631578947368421,31.0,10.0,3.0,17.0,18.0,-6.0,5,0,1,HOME_TEAM
1.3846153846153846,1.1538461538461537,0.07894736842105264,0.10526315789473685,12.0,14.0,14.0,12.0,-6.0,-6.0,3,0,3,HOME_TEAM
1.7692307692307692,1.5,0.15789473684210528,0.05263157894736842,22.0,12.0,6.0,13.0,7.0,0.0,3,3,0,HOME_TEAM
0.8333333333333334,2.1538461538461537,0.05263157894736842,0.26315789473684215,11.0,32.0,16.0,2.0,-7.0,19.0,0,2,0,AWAY_TEAM
1.3076923076923077,0.8461538461538461,0.13157894736842107,0.13157894736842107,21.0,18.0,7.0,8.0,1.0,-1.0,2,0,2,HOME_TEAM
2.3846153846153846,1.9230769230769231,0.2894736842105263,0.18421052631578946,34.0,24.0,1.0,5.0,15.0,8.0,2,2,2,DRAW
0.9230769230769231,0.7692307692307693,0.026315789473684213,0.052631578947368425,9.0,10.0,17.0,16.0,-6.0,-7.0,0,0,2,DRAW
0.7857142857142857,1.2142857142857142,0.13157894736842105,0.10526315789473684,18.0,19.0,11.0,8.0,-2.0,-1.0,2,1,1,HOME_TEAM
2.2857142857142856,1.1428571428571428,0.28947368421052627,0.13157894736842105,35.0,19.0,2.0,10.0,15.0,-2.0,3,2,1,HOME_TEAM
1.8571428571428572,1.1428571428571428,0.18421052631578946,0.10526315789473684,25.0,19.0,5.0,9.0,8.0,-2.0,5,0,1,HOME_TEAM
2.2142857142857144,1.3571428571428572,0.28947368421052627,0.02631578947368421,35.0,7.0,1.0,19.0,22.0,-14.0,2,0,0,HOME_TEAM
1.1428571428571428,1.7857142857142858,0.10526315789473684,0.18421052631578946,14.0,25.0,14.0,6.0,-8.0,8.0,3,2,1,DRAW
0.9285714285714286,1.0,0.02631578947368421,0.10526315789473684,10.0,15.0,17.0,13.0,-7.0,-5.0,1,2,3,DRAW
1.1428571428571428,1.2857142857142858,0.0,0.15789473684210525,3.0,24.0,20.0,7.0,-21.0,2.0,0,1,1,DRAW
1.4615384615384615,1.5,0.052631578947368425,0.10526315789473684,12.0,15.0,15.0,12.0,-1.0,-4.0,0,4,1,DRAW
1.9285714285714286,2.1538461538461537,0.2368421052631579,0.26315789473684215,31.0,34.0,4.0,3.0,13.0,19.0,5,1,0,HOME_TEAM
1.0,0.7857142857142857,0.02631578947368421,0.05263157894736842,8.0,11.0,18.0,16.0,-10.0,-10.0,0,0,2,DRAW
1.1333333333333333,1.1333333333333333,0.10526315789473684,0.13157894736842105,19.0,19.0,10.0,9.0,-3.0,-3.0,1,4,1,HOME_TEAM
0.9333333333333333,0.8666666666666667,0.10526315789473684,0.15789473684210528,16.0,21.0,13.0,8.0,-5.0,0.0,1,1,2,AWAY_TEAM
1.2,2.2,0.15789473684210528,0.31578947368421056,25.0,38.0,7.0,1.0,2.0,24.0,1,2,3,DRAW
1.4666666666666666,1.7333333333333334,0.10526315789473684,0.1842105263157895,16.0,26.0,12.0,6.0,-4.0,8.0,3,2,1,AWAY_TEAM
0.8666666666666667,1.4285714285714286,0.02631578947368421,0.05263157894736842,11.0,13.0,17.0,15.0,-7.0,-1.0,3,1,2,HOME_TEAM
2.0,1.0666666666666667,0.2631578947368421,0.0,34.0,4.0,3.0,20.0,18.0,-21.0,1,0,1,HOME_TEAM
0.8,1.1333333333333333,0.05263157894736842,0.10526315789473684,12.0,15.0,16.0,14.0,-10.0,-8.0,0,1,1,DRAW
1.8666666666666667,2.2666666666666666,0.2631578947368421,0.31578947368421056,34.0,38.0,4.0,2.0,14.0,16.0,3,3,0,AWAY_TEAM
1.0666666666666667,1.0,0.10526315789473684,0.02631578947368421,19.0,9.0,11.0,18.0,-6.0,-10.0,2,1,3,DRAW
1.2666666666666666,2.0,0.02631578947368421,0.21052631578947367,7.0,28.0,19.0,5.0,-16.0,12.0,0,0,2,DRAW
1.125,1.0,0.10526315789473684,0.10526315789473684,16.0,20.0,14.0,10.0,-8.0,-6.0,3,2,1,HOME_TEAM
0.9375,1.25,0.02631578947368421,0.02631578947368421,10.0,8.0,18.0,19.0,-10.0,-16.0,2,0,0,HOME_TEAM
1.9375,2.0,0.21052631578947367,0.28947368421052627,29.0,37.0,5.0,3.0,12.0,19.0,2,4,0,HOME_TEAM
1.3333333333333333,1.125,0.05263157894736842,0.13157894736842105,13.0,22.0,16.0,9.0,-2.0,-2.0,3,2,1,AWAY_TEAM
1.0625,1.875,0.13157894736842105,0.2631578947368421,19.0,34.0,11.0,4.0,-4.0,12.0,0,4,1,DRAW
1.0625,0.875,0.0,0.05263157894736842,4.0,14.0,20.0,15.0,-22.0,-6.0,0,0,2,DRAW
1.8125,1.1875,0.21052631578947367,0.15789473684210525,29.0,26.0,6.0,7.0,11.0,2.0,2,2,1,DRAW
0.875,0.8125,0.18421052631578946,0.05263157894736842,24.0,13.0,8.0,17.0,1.0,-10.0,0,0,2,DRAW
2.125,1.375,0.3157894736842105,0.10526315789473684,39.0,16.0,2.0,13.0,24.0,-7.0,5,0,1,HOME_TEAM
2.375,0.875,0.3421052631578947,0.10526315789473684,41.0,16.0,1.0,12.0,18.0,-6.0,3,1,2,HOME_TEAM
0.9411764705882353,1.0588235294117647,0.10526315789473684,0.13157894736842105,20.0,20.0,11.0,10.0,-7.0,-4.0,1,1,3,AWAY_TEAM
1.875,1.2352941176470589,0.2894736842105263,0.15789473684210528,37.0,25.0,3.0,8.0,17.0,1.0,4,1,1,DRAW
1.1764705882352942,1.25,0.02631578947368421,0.05263157894736842,8.0,13.0,19.0,17.0,-17.0,-5.0,0,2,0,AWAY_TEAM
1.8235294117647058,1.0,0.2631578947368421,0.0,35.0,5.0,4.0,20.0,12.0,-22.0,2,0,0,HOME_TEAM
1.9411764705882353,0.8823529411764706,0.2368421052631579,0.18421052631578946,32.0,25.0,5.0,9.0,14.0,1.0,4,0,0,HOME_TEAM
1.3529411764705883,0.9411764705882353,0.10526315789473684,0.05263157894736842,16.0,13.0,14.0,18.0,-10.0,-9.0,3,2,1,HOME_TEAM
0.8235294117647058,1.7058823529411764,0.05263157894736842,0.21052631578947367,14.0,30.0,16.0,6.0,-10.0,11.0,0,1,1,DRAW
1.1176470588235294,2.411764705882353,0.15789473684210528,0.3684210526315789,27.0,44.0,7.0,1.0,2.0,21.0,2,1,3,DRAW
